Combination_ID,Combination_Name,Selection_Idx,Crossover_Idx,Mutation_Idx,LocalSearch_Idx,Instance,BKS_Fitness,BKS_Vehicles,BKS_Distance,Avg_Fitness,Std_Fitness,Avg_Vehicles,Std_Vehicles,Avg_Distance,Std_Distance,Feasibility_Rate,Avg_Total_Time,Std_Total_Time,Avg_Time_To_Best,Std_Time_To_Best,Avg_Num_Improvements,Std_Num_Improvements,Avg_Longest_Stagnation,Std_Longest_Stagnation
combo_2,No_LocalSearch,1,1,0,0,poa-n100-1,2698.7058823529414,12,1582.0,37649.18039215686,205.95302547994942,14.0,0.816496580927726,2524.6666666666665,31.09483701338357,0.0,60.01710995038351,0.004775997272429674,44.24734457333883,14.314830288852027,4.666666666666667,0.9428090415820634,37.29893366495768,1.7710527575247736
combo_2,No_LocalSearch,1,1,0,0,poa-n100-2,2981.8125,15,1539.0,39771.36666666666,347.9947056190474,13.0,1.4142135623730951,2295.0,64.41014412859722,0.0,60.015333573023476,0.0016787306207670038,14.13033127784729,13.560446178683101,9.0,3.7416573867739413,45.88351035118103,13.560555708205179
combo_2,No_LocalSearch,1,1,0,0,poa-n100-3,1970.4736842105262,10,1291.0,22080.622807017546,507.1348598566985,15.333333333333334,0.9428090415820634,1977.0,33.595634637057636,0.0,60.01192013422648,0.0016514270664812144,22.73545511563619,1.3091183697992692,7.0,0.816496580927726,37.274986584981285,1.3076113302268522
combo_2,No_LocalSearch,1,1,0,0,poa-n100-4,2262.0,7,1653.0,44545.94385964912,629.8265124145106,15.0,0.816496580927726,2565.0,71.76350047203663,0.0,60.00860365231832,0.001322096730903776,27.746044556299847,24.195740600658855,7.666666666666667,4.0276819911981905,47.71057264010111,9.885401135539604
combo_2,No_LocalSearch,1,1,0,0,poa-n100-5,844.2352941176471,6,624.0,24562.031372549023,282.55865077270107,14.0,0.816496580927726,1775.6666666666667,31.18047822311618,0.0,60.02203861872355,0.002443166283501686,24.79993724822998,16.277664956990012,6.333333333333333,0.4714045207910317,41.187323888142906,7.938444057011453
combo_2,No_LocalSearch,1,1,0,0,poa-n100-6,655.6666666666667,3,562.0,10181.585185185186,142.39600994702826,14.666666666666666,1.247219128924647,1121.3333333333333,35.56527644893104,0.0,60.016940434773765,0.009561996364377191,29.551080306371052,8.820805393100276,8.0,2.160246899469287,34.166999419530235,3.6218909856691295
combo_2,No_LocalSearch,1,1,0,0,poa-n100-7,999.0588235294118,5,772.0,22102.38823529412,306.6860757611012,12.333333333333334,1.699673171197595,1594.0,141.50618361046983,0.0,60.00877054532369,0.0005018623436358413,41.035496950149536,9.979929103221068,6.0,1.632993161855452,31.029423157374065,4.861962294950983
combo_3,LS_Set2_OneShot,1,1,0,8,lc101,1160.6,10,829.0,1160.5116137199673,1.3127425272378462e-13,10.0,0.0,828.9368669428337,9.282491429618472e-14,1.0,61.75426459312439,0.5036528369857026,5.991071462631226,0.2524465347599194,1.0,0.0,55.763098080952965,0.30172457049079754
combo_3,LS_Set2_OneShot,1,1,0,8,lc102,1160.6,10,829.0,1160.5116137199673,0.0,10.0,0.0,828.9368669428337,1.1368683772161603e-13,1.0,61.11633801460266,0.7566941161854547,5.360378185908,0.0781499865364017,1.0,0.0,55.75478267669678,0.6837903814142191
combo_3,LS_Set2_OneShot,1,1,0,8,lc103,1407.6,9,1035.0,1159.0105788377907,0.0,10.0,0.0,827.8646991698506,6.563712636189231e-14,1.0,61.28242039680481,0.5332142513826649,10.362648010253906,6.574774164402774,1.3333333333333333,0.4714045207910317,50.91903201738993,6.220001268953254
